代码,公司名称,行业板块,现价 ($),市值 (十亿$),滚动PE,PEG,ROE (%),营收增速 (%),股息率 (%),偏离50日线 (%)
CDW,CDW Corporation,Information Technology,135.43,16.93,16.28,1.33,44.01,10.0,181.0,-4.61
COR,Cencora,Health Care,306.92,58.57,22.77,0.65,96.87,5.1,77.0,-3.26
CNC,Centene Corporation,Health Care,61.82,30.54,,0.75,-20.36,4.6,0.0,-5.01
CNP,CenterPoint Energy,Utilities,36.84,24.27,21.93,1.61,9.83,10.7,261.0,-8.34
CF,CF Industries,Materials,114.67,17.35,8.67,0.53,29.87,17.6,203.0,-8.33
CRL,Charles River Laboratories,Health Care,292.84,13.98,,0.12,-7.52,-2.7,0.0,8.84
SCHW,Charles Schwab Corporation,Financials,99.03,171.26,18.04,0.84,20.27,20.9,129.0,-7.04
CHTR,Charter Communications,Communication Services,112.91,12.92,2.94,0.67,27.2,-1.7,0.0,-20.52
CVX,Chevron Corporation,Energy,204.45,401.05,19.66,0.9,12.23,53.5,346.0,2.06
CMG,Chipotle Mexican Grill,Consumer Discretionary,31.33,39.65,29.01,1.43,49.56,9.3,0.0,-9.92
CB,Chubb Limited,Financials,333.37,128.61,11.81,2.52,14.82,6.1,122.0,-3.11
CHD,Church & Dwight,Consumer Staples,96.38,22.86,30.89,2.68,17.04,1.6,129.0,-2.21
CIEN,Ciena,Information Technology,356.91,50.61,78.96,0.36,22.4,37.0,0.0,-5.3
CI,Cigna,Health Care,272.01,71.88,11.24,0.72,16.76,6.7,235.0,-2.59
CINF,Cincinnati Financial,Financials,162.54,24.95,7.67,2.19,21.48,31.6,232.0,-5.61
CTAS,Cintas,Industrials,199.91,79.87,39.51,3.12,41.38,10.9,105.0,-1.06
CSCO,Cisco,Information Technology,106.7,420.67,32.04,0.99,27.32,17.6,157.0,-5.11
C,Citigroup,Financials,134.28,225.25,14.49,0.6,8.53,15.5,203.0,0.25
CFG,Citizens Financial Group,Financials,65.53,27.6,14.28,1.65,8.27,14.7,284.0,-7.08
CLX,Clorox,Consumer Staples,83.8,10.13,17.42,1.02,163.76,-2.0,611.0,-13.31
CME,CME Group,Financials,264.48,95.1,22.45,4.68,15.8,0.8,193.0,-1.27
CMS,CMS Energy,Utilities,62.95,19.45,18.9,2.26,9.16,-0.5,363.0,-9.11
KO,Coca-Cola Company (The),Consumer Staples,87.81,377.81,26.37,4.0,42.05,6.7,241.0,0.87
CTSH,Cognizant,Information Technology,57.33,27.12,12.3,0.83,14.92,4.5,231.0,0.02
